,date,location,location_name,value
15653,2020-07-30,08,Colorado,57
15654,2020-06-19,44,Rhode Island,0
15655,2020-07-30,53,Washington,30
15656,2020-10-05,53,Washington,23
15657,2020-08-05,05,Arkansas,67
15658,2020-08-17,51,Virginia,63
15659,2020-07-21,30,Montana,13
15660,2020-07-21,50,Vermont,1
15661,2020-08-08,72,Puerto Rico,41
15662,2020-09-24,39,Ohio,104
15663,2020-07-19,11,District of Columbia,7
15664,2020-07-30,21,Kentucky,143
15665,2020-09-02,23,Maine,1
15666,2020-07-20,46,South Dakota,1
15667,2020-09-28,35,New Mexico,19
15668,2020-09-06,04,Arizona,66
15669,2020-08-13,34,New Jersey,27
15670,2020-08-12,49,Utah,19
15671,2020-07-08,13,Georgia,0
15672,2020-09-05,50,Vermont,0
15673,2020-07-16,28,Mississippi,88
15674,2020-09-17,12,Florida,352
15675,2020-09-16,08,Colorado,20
15676,2020-08-05,19,Iowa,32
15677,2020-07-31,01,Alabama,123
15678,2020-09-14,34,New Jersey,21
15679,2020-08-31,78,Virgin Islands,2
15680,2020-09-12,22,Louisiana,83
15681,2020-08-09,11,District of Columbia,14
15682,2020-10-06,11,District of Columbia,9
15683,2020-08-22,18,Indiana,41
15684,2020-08-16,17,Illinois,100
15685,2020-08-16,10,Delaware,7
15686,2020-08-03,05,Arkansas,70
15687,2020-07-28,34,New Jersey,35
15688,2020-05-03,36,New York,0
15689,2020-08-02,02,Alaska,4
15690,2020-09-28,02,Alaska,3
15691,2020-08-30,56,Wyoming,5
15692,2020-09-17,47,Tennessee,97
15693,2020-07-29,01,Alabama,162
15694,2020-10-01,38,North Dakota,27
15695,2020-07-23,47,Tennessee,167
15696,2020-08-17,17,Illinois,122
15697,2020-07-27,37,North Carolina,148
15698,2020-08-27,06,California,424
15699,2020-09-04,37,North Carolina,133
15700,2020-09-17,45,South Carolina,69
15701,2020-10-03,39,Ohio,126
15702,2020-07-31,30,Montana,18
15703,2020-08-01,72,Puerto Rico,3
15704,2020-08-22,33,New Hampshire,30
15705,2020-09-01,02,Alaska,2
15706,2020-09-20,31,Nebraska,26
15707,2020-08-20,29,Missouri,111
15708,2020-07-12,44,Rhode Island,0
15709,2020-07-31,50,Vermont,1
